1 2 3 4 5 6 7 8
1 9 10 11 12 13 14 15
1 16 17 18 19 20 21 22
1 23 24 25 26 27 28 29
1 30 31 32 33 34 35 36
1 37 38 39 40 41 42 43
1 44 45 46 47 48 49 50
1 51 52 53 54 55 56 57
2 9 12 15 18 21 24 27
2 10 13 16 19 22 25 28
2 11 14 17 20 23 26 29
2 12 15 18 21 24 27 30
2 13 16 19 22 25 28 31
2 14 17 20 23 26 29 32
2 15 18 21 24 27 30 33
3 9 13 17 21 25 29 33
3 10 14 18 22 26 30 34
3 11 15 19 23 27 31 35
3 12 16 20 24 28 32 36
3 13 17 21 25 29 33 37
3 14 18 22 26 30 34 38
3 15 19 23 27 31 35 39
4 9 14 19 24 29 34 39
4 10 15 20 25 30 35 40
4 11 16 21 26 31 36 41
4 12 17 22 27 32 37 42
4 13 18 23 28 33 38 43
4 14 19 24 29 34 39 44
4 15 20 25 30 35 40 45
5 9 15 21 27 33 39 45
5 10 16 22 28 34 40 46
5 11 17 23 29 35 41 47
5 12 18 24 30 36 42 48
5 13 19 25 31 37 43 49
5 14 20 26 32 38 44 50
5 15 21 27 33 39 45 51
6 9 16 23 30 37 44 51
6 10 17 24 31 38 45 52
6 11 18 25 32 39 46 53
6 12 19 26 33 40 47 54
6 13 20 27 34 41 48 55
6 14 21 28 35 42 49 56
6 15 22 29 36 43 50 57
7 9 17 25 33 41 49 57
7 10 18 26 34 42 50 51
7 11 19 27 35 43 44 52
7 12 20 28 36 37 45 53
7 13 21 29 30 38 46 54
7 14 22 23 31 39 47 55
7 15 16 24 32 40 48 56
8 9 18 27 36 38 47 56
8 10 19 28 30 39 48 57
8 11 20 29 31 40 49 51
8 12 21 23 32 41 50 52
8 13 22 24 33 42 44 53
8 14 16 25 34 43 45 54
8 15 17 26 35 37 46 55
