1 2 3 4 5 6 7 8 9
1 10 11 12 13 14 15 16 17
1 18 19 20 21 22 23 24 25
1 26 27 28 29 30 31 32 33
1 34 35 36 37 38 39 40 41
1 42 43 44 45 46 47 48 49
1 50 51 52 53 54 55 56 57
1 58 59 60 61 62 63 64 65
1 66 67 68 69 70 71 72 73
2 10 18 26 34 42 50 58 66
2 11 19 27 35 43 51 59 67
2 12 20 28 36 44 52 60 68
2 13 21 29 37 45 53 61 69
2 14 22 30 38 46 54 62 70
2 15 23 31 39 47 55 63 71
2 16 24 32 40 48 56 64 72
2 17 25 33 41 49 57 65 73
3 10 19 28 37 46 55 64 73
3 11 18 29 36 47 54 65 72
3 12 21 26 35 48 57 62 71
3 13 20 27 34 49 56 63 70
3 14 23 32 41 42 51 60 69
3 15 22 33 40 43 50 61 68
3 16 25 30 39 44 53 58 67
3 17 24 31 38 45 52 59 66
4 10 20 30 40 45 51 65 71
4 11 21 31 41 44 50 64 70
4 12 18 32 38 43 53 63 73
4 13 19 33 39 42 52 62 72
4 14 24 26 36 49 55 61 67
4 15 25 27 37 48 54 60 66
4 16 22 28 34 47 57 59 69
4 17 23 29 35 46 56 58 68
5 10 21 32 39 49 54 59 68
5 11 20 33 38 48 55 58 69
5 12 19 30 41 47 56 61 66
5 13 18 31 40 46 57 60 67
5 14 25 28 35 45 50 63 72
5 15 24 29 34 44 51 62 73
5 16 23 26 37 43 52 65 70
5 17 22 27 36 42 53 64 71
6 10 22 29 41 48 52 63 67
6 11 23 28 40 49 53 62 66
6 12 24 27 39 46 50 65 69
6 13 25 26 38 47 51 64 68
6 14 18 33 37 44 56 59 71
6 15 19 32 36 45 57 58 70
6 16 20 31 35 42 54 61 73
6 17 21 30 34 43 55 60 72
7 10 23 27 38 44 57 61 72
7 11 22 26 39 45 56 60 73
7 12 25 29 40 42 55 59 70
7 13 24 28 41 43 54 58 71
7 14 19 31 34 48 53 65 68
7 15 18 30 35 49 52 64 69
7 16 21 33 36 46 51 63 66
7 17 20 32 37 47 50 62 67
8 10 24 33 35 47 53 60 70
8 11 25 32 34 46 52 61 71
8 12 22 31 37 49 51 58 72
8 13 23 30 36 48 50 59 73
8 14 20 29 39 43 57 64 66
8 15 21 28 38 42 56 65 67
8 16 18 27 41 45 55 62 68
8 17 19 26 40 44 54 63 69
9 10 25 31 36 43 56 62 69
9 11 24 30 37 42 57 63 68
9 12 23 33 34 45 54 64 67
9 13 22 32 35 44 55 65 66
9 14 21 27 40 47 52 58 73
9 15 20 26 41 46 53 59 72
9 16 19 29 38 49 50 60 71
9 17 18 28 39 48 51 61 70
